中文名,英文名,序号,海克斯名称
影哨,Akshan,10,万用瞄准镜
影哨,Akshan,11,火上浇油
影哨,Akshan,12,罪恶快感
影哨,Akshan,13,升级：收集者
影哨,Akshan,14,巨人杀手
影哨,Akshan,15,踢踏舞
影哨,Akshan,16,穿针引线
影哨,Akshan,17,连拨击锤
影哨,Akshan,18,点亮他们！
影哨,Akshan,19,渴血
影哨,Akshan,20,质变：棱彩阶
影哨,Akshan,21,灵魂虹吸
影哨,Akshan,22,升级：无尽之刃
影哨,Akshan,23,缩小射线
影哨,Akshan,24,关键暴击
影哨,Akshan,25,战争交响乐
影哨,Akshan,26,地狱三头犬
影哨,Akshan,27,一板一眼
影哨,Akshan,28,大力
影哨,Akshan,29,魔法转物理
影哨,Akshan,30,亮出你的剑
影哨,Akshan,31,活力再生
影哨,Akshan,32,裁决使
影哨,Akshan,33,心灵净化
影哨,Akshan,34,易损
影哨,Akshan,35,秘术冲拳
影哨,Akshan,36,质变：黄金阶
影哨,Akshan,37,作弊：我能回城！
影哨,Akshan,38,质变：混沌
影哨,Akshan,39,虚幻武器
影哨,Akshan,40,残暴之力
影哨,Akshan,41,旋转至胜
影哨,Akshan,42,珠光护手
影哨,Akshan,43,家园卫士
影哨,Akshan,44,面包和黄油
影哨,Akshan,45,炼狱龙魂
影哨,Akshan,46,夜狩
影哨,Akshan,47,会心防御
影哨,Akshan,48,练腿日
影哨,Akshan,49,逃跑计划
影哨,Akshan,50,无休回复
影哨,Akshan,51,升级：狂妄
影哨,Akshan,52,任务：海牛阿福的勇士
影哨,Akshan,53,玻璃大炮
影哨,Akshan,54,全能龙魂
影哨,Akshan,55,会心治疗
影哨,Akshan,56,魔法飞弹
影哨,Akshan,57,霸符兄弟
影哨,Akshan,58,循环往复
影哨,Akshan,59,回归基本功
影哨,Akshan,60,老练狙神
影哨,Akshan,61,有始有终
影哨,Akshan,62,尊我为王
影哨,Akshan,63,侵蚀
影哨,Akshan,64,终极刷新
影哨,Akshan,65,杀戮时间到了
影哨,Akshan,66,回力OK镖
影哨,Akshan,67,小丑学院
影哨,Akshan,68,面包和奶酪
影哨,Akshan,69,科学狂人
影哨,Akshan,70,暗影疾奔
影哨,Akshan,71,歌利亚巨人
影哨,Akshan,72,大地苏醒
影哨,Akshan,73,防护面纱
影哨,Akshan,74,精准奇才
影哨,Akshan,75,唯快不破
影哨,Akshan,76,坦克引擎
影哨,Akshan,77,重量级打击手
影哨,Akshan,78,神圣干预
影哨,Akshan,79,刃下生风
影哨,Akshan,80,终极唤醒
影哨,Akshan,81,海洋龙魂
影哨,Akshan,82,夺金
影哨,Akshan,83,炼狱导管
影哨,Akshan,84,量子计算
影哨,Akshan,85,利刃华尔兹
影哨,Akshan,86,尖端发明家
影哨,Akshan,87,感受燃烧
影哨,Akshan,88,急急小子
影哨,Akshan,89,黎明使者的坚决
影哨,Akshan,90,坚韧
影哨,Akshan,91,退敌力场
影哨,Akshan,92,轨道镭射
影哨,Akshan,93,史上最大雪球
影哨,Akshan,94,精怪魔法
影哨,Akshan,95,全凭身法
影哨,Akshan,96,炽烈黎明
影哨,Akshan,97,你摸不到
影哨,Akshan,98,任务：钢化你心
影哨,Akshan,99,吵闹鬼
影哨,Akshan,100,雪球扭蛋机
影哨,Akshan,101,慢炖
影哨,Akshan,102,俯冲轰炸
影哨,Akshan,103,快中求稳
影哨,Akshan,104,升级：雪球
影哨,Akshan,105,山脉龙魂
影哨,Akshan,106,古式佳酿
影哨,Akshan,107,终极不可阻挡
影哨,Akshan,108,狂徒豪气
影哨,Akshan,109,星界躯体
影哨,Akshan,110,闪闪现现
影哨,Akshan,111,面包和果酱
影哨,Akshan,112,冰霜 幽灵
影哨,Akshan,113,基石法师
影哨,Akshan,114,闪光弹
影哨,Akshan,115,溢流
影哨,Akshan,116,升级：弯刀
影哨,Akshan,117,自我毁灭
影哨,Akshan,118,冰寒
影哨,Akshan,119,由心及物
影哨,Akshan,120,巫师式思考
影哨,Akshan,121,圣火
影哨,Akshan,122,急救用具
影哨,Akshan,123,天音爆
影哨,Akshan,124,死亡之环
牛头酋长,Alistar,1,坦克引擎
牛头酋长,Alistar,2,星界躯体
牛头酋长,Alistar,3,坚韧
牛头酋长,Alistar,4,任务：钢化你心
牛头酋长,Alistar,5,不动如山
牛头酋长,Alistar,6,恶趣味
牛头酋长,Alistar,7,歌利亚巨人
牛头酋长,Alistar,8,巨像的勇气
牛头酋长,Alistar,9,坚若磐石
牛头酋长,Alistar,10,慢炖
牛头酋长,Alistar,11,质变：棱彩阶
牛头酋长,Alistar,12,裁决使
牛头酋长,Alistar,13,古式佳酿
牛头酋长,Alistar,14,残忍
牛头酋长,Alistar,15,重量级打击手
牛头酋长,Alistar,16,循环往复
牛头酋长,Alistar,17,扇巴掌
牛头酋长,Alistar,18,面包和黄油
牛头酋长,Alistar,19,折磨者
牛头酋长,Alistar,20,冰霜 幽灵
牛头酋长,Alistar,21,心灵净化
牛头酋长,Alistar,22,蛋白粉奶昔
牛头酋长,Alistar,23,黎明使者的坚决
牛头酋长,Alistar,24,面包和果酱
牛头酋长,Alistar,25,由心及物
牛头酋长,Alistar,26,作弊：我能回城！
牛头酋长,Alistar,27,会心治疗
牛头酋长,Alistar,28,自我毁灭
牛头酋长,Alistar,29,无休回复
牛头酋长,Alistar,30,山脉龙魂
牛头酋长,Alistar,31,死亡之环
牛头酋长,Alistar,32,质变：黄金阶
牛头酋长,Alistar,33,尖端发明家
牛头酋长,Alistar,34,升级：献祭
牛头酋长,Alistar,35,神圣干预
牛头酋长,Alistar,36,最终形态
牛头酋长,Alistar,37,魔法飞弹
牛头酋长,Alistar,38,升级：雪球
牛头酋长,Alistar,39,炼狱导管
牛头酋长,Alistar,40,雪球扭蛋机
牛头酋长,Alistar,41,俯冲轰炸
牛头酋长,Alistar,42,逃跑计划
牛头酋长,Alistar,43,海洋龙魂
牛头酋长,Alistar,44,练腿日
牛头酋长,Alistar,45,尤里卡
牛头酋长,Alistar,46,快中求稳
牛头酋长,Alistar,47,溢流
牛头酋长,Alistar,48,巫师式思考
牛头酋长,Alistar,49,质变：混沌
牛头酋长,Alistar,50,狂徒豪气
牛头酋长,Alistar,51,穿针引线
牛头酋长,Alistar,52,珠光护手
牛头酋长,Alistar,53,终极唤醒
牛头酋长,Alistar,54,杀戮时间到了
牛头酋长,Alistar,55,天音爆
牛头酋长,Alistar,56,侵蚀
牛头酋长,Alistar,57,圣火
牛头酋长,Alistar,58,暗影疾奔
牛头酋长,Alistar,59,史上最大雪球
牛头酋长,Alistar,60,激光治疗
牛头酋长,Alistar,61,急救用具
牛头酋长,Alistar,62,有始有终
牛头酋长,Alistar,63,物理转魔法
牛头酋长,Alistar,64,巨人杀手
牛头酋长,Alistar,65,基石法师
牛头酋长,Alistar,66,虚幻武器
牛头酋长,Alistar,67,量子计算
牛头酋长,Alistar,68,帽上加帽
牛头酋长,Alistar,69,砍伤
牛头酋长,Alistar,70,全凭身法
牛头酋长,Alistar,71,家园卫士
牛头酋长,Alistar,72,神射法师
牛头酋长,Alistar,73,风语者的祝福
牛头酋长,Alistar,74,科学狂人
牛头酋长,Alistar,75,超强大脑
牛头酋长,Alistar,76,吸血习性
牛头酋长,Alistar,77,魔鬼之舞
牛头酋长,Alistar,78,终极刷新
牛头酋长,Alistar,79,缩小射线
牛头酋长,Alistar,80,炽烈黎明
牛头酋长,Alistar,81,全能龙魂
牛头酋长,Alistar,82,急急小子
牛头酋长,Alistar,83,小丑学院
牛头酋长,Alistar,84,任务：沃格勒特的巫师帽
牛头酋长,Alistar,85,会心防御
牛头酋长,Alistar,86,感受燃烧
牛头酋长,Alistar,87,面包和奶酪
牛头酋长,Alistar,88,不祥契约
牛头酋长,Alistar,89,全心为你
牛头酋长,Alistar,90,终极不可阻挡
牛头酋长,Alistar,91,冰寒
牛头酋长,Alistar,92,易损
牛头酋长,Alistar,93,霸符兄弟
牛头酋长,Alistar,94,大地苏醒
牛头酋长,Alistar,95,强力护盾
牛头酋长,Alistar,96,防护面纱
牛头酋长,Alistar,97,你摸不到
牛头酋长,Alistar,98,闪光弹
牛头酋长,Alistar,99,炼狱龙魂
牛头酋长,Alistar,100,夜狩
牛头酋长,Alistar,101,尊我为王
牛头酋长,Alistar,102,轨道镭射
牛头酋长,Alistar,103,至高天诺言
牛头酋长,Alistar,104,回力OK镖
牛头酋长,Alistar,105,退敌力场
牛头酋长,Alistar,106,更万用的瞄准镜
牛头酋长,Alistar,107,闪闪现现
牛头酋长,Alistar,108,升级：米凯尔的祝福
牛头酋长,Alistar,109,关键暴击
牛头酋长,Alistar,110,任务：海牛阿福的勇士
牛头酋长,Alistar,111,小猫咪找妈妈
牛头酋长,Alistar,112,回归基本功
牛头酋长,Alistar,113,罪恶快感
牛头酋长,Alistar,114,秘术冲拳
牛头酋长,Alistar,115,火上浇油
牛头酋长,Alistar,116,升级：中娅
牛头酋长,Alistar,117,利刃华尔兹
牛头酋长,Alistar,118,玻璃大炮
牛头酋长,Alistar,119,渴血
牛头酋长,Alistar,120,灵魂虹吸
牛头酋长,Alistar,121,夺金
牛头酋长,Alistar,122,最万用的瞄准镜
牛头酋长,Alistar,123,吵闹鬼
牛头酋长,Alistar,124,踢踏舞
牛头酋长,Alistar,125,万用瞄准镜
牛头酋长,Alistar,126,双刀流
牛头酋长,Alistar,127,地狱三头犬
牛头酋长,Alistar,128,连拨击锤
牛头酋长,Alistar,129,战争交响乐
牛头酋长,Alistar,130,刃下生风
牛头酋长,Alistar,131,灵巧
牛头酋长,Alistar,132,接二连三
牛头酋长,Alistar,133,唯快不破
牛头酋长,Alistar,134,台风
牛头酋长,Alistar,135,点亮他们！
牛头酋长,Alistar,136,暴击律动
铁血狼母,Ambessa,1,吸血习性
铁血狼母,Ambessa,2,狂徒豪气
铁血狼母,Ambessa,3,裁决使
铁血狼母,Ambessa,4,快中求稳
铁血狼母,Ambessa,5,古式佳酿
铁血狼母,Ambessa,6,渴血
铁血狼母,Ambessa,7,暗影疾奔
铁血狼母,Ambessa,8,大地苏醒
铁血狼母,Ambessa,9,升级：狂妄
铁血狼母,Ambessa,10,最终形态
铁血狼母,Ambessa,11,全凭身法
铁血狼母,Ambessa,12,质变：棱彩阶
铁血狼母,Ambessa,13,穿针引线
铁血狼母,Ambessa,14,残暴之力
铁血狼母,Ambessa,15,夜狩
铁血狼母,Ambessa,16,珠光护手
铁血狼母,Ambessa,17,强力护盾
铁血狼母,Ambessa,18,魔鬼之舞
铁血狼母,Ambessa,19,循环往复
铁血狼母,Ambessa,20,歌利亚巨人
铁血狼母,Ambessa,21,杀戮时间到了
铁血狼母,Ambessa,22,小丑学院
